YEAR,SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6
1998,+,ABTO,,Abert's Towhee,Pipilo aberti,,*
2000,+,ABTO,,Abert's Towhee,Pipilo aberti,Pipabe,*
2002,,ABTO,,Abert's Towhee,Pipilo aberti,Pipabe,
2004,,ABTO,,Abert's Towhee,Pipilo aberti,PIPABE,
2006,,ABTO,,Abert's Towhee,Pipilo aberti,PIPABE,
2008,,ABTO,,Abert's Towhee,Pipilo aberti,PIPABE,
2009,,ABTO,,Abert's Towhee,Pipilo aberti,PIPABE,
2010,,ABTO,,Abert's Towhee,Melozone aberti,MELABE,
2011,,ABTO,,Abert's Towhee,Melozone aberti,MELABE,
2012,,ABTO,,Abert's Towhee,Melozone aberti,MELABE,
2013,,ABTO,,Abert's Towhee,Melozone aberti,MELABE,
2014,,ABTO,,Abert's Towhee,Melozone aberti,MELABE,
2015,,ABTO,,Abert's Towhee,Melozone aberti,MELABE,
2016,,ABTO,,Abert's Towhee,Melozone aberti,MELABE,
2017,,ABTO,,Abert's Towhee,Melozone aberti,MELABE,
2018,,ABTO,,Abert's Towhee,Melozone aberti,MELABE,
2019,,ABTO,,Abert's Towhee,Melozone aberti,MELABE,
2020,,ABTO,,Abert's Towhee,Melozone aberti,MELABE,
1998,+,ACFL,,Acadian Flycatcher,Empidonax virescens,,*
2000,+,ACFL,,Acadian Flycatcher,Empidonax virescens,Empvir,*
2002,,ACFL,,Acadian Flycatcher,Empidonax virescens,Empvir,
2004,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2006,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2008,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2009,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2010,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2011,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2012,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2013,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2014,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2015,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2016,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2017,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2018,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2019,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
2020,,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
1998,+,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,,*
2000,+,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,Melfor,*
2002,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,Melfor,
2004,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2006,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2008,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2009,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2010,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2011,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2012,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2013,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2014,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2015,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2016,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2017,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2018,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2019,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
2020,,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
1998,+,ADWA,,Adelaide's Warbler,Dendroica adelaidae,,*
2000,+,ADWA,,Adelaide's Warbler,Dendroica adelaidae,Denade,*
2002,,ADWA,,Adelaide's Warbler,Dendroica adelaidae,Denade,
2004,,ADWA,,Adelaide's Warbler,Dendroica adelaidae,DENADE,
2006,,ADWA,,Adelaide's Warbler,Dendroica adelaidae,DENADE,
2008,,ADWA,,Adelaide's Warbler,Dendroica adelaidae,DENADE,
2009,,ADWA,,Adelaide's Warbler,Dendroica adelaidae,DENADE,
2010,,ADWA,,Adelaide's Warbler,Dendroica adelaidae,DENADE,
2011,,ADWA,,Adelaide's Warbler,Setophaga adelaidae,SETADE,
2012,,ADWA,,Adelaide's Warbler,Setophaga adelaidae,SETADE
2013,,ADWA,,Adelaide's Warbler,Setophaga adelaidae,SETADE
2014,,ADWA,,Adelaide's Warbler,Setophaga adelaidae,SETADE
2015,,ADWA,,Adelaide's Warbler,Setophaga adelaidae,SETADE
2016,,ADWA,,Adelaide's Warbler,Setophaga adelaidae,SETADE
2017,,ADWA,,Adelaide's Warbler,Setophaga adelaidae,SETADE
2018,,ADWA,,Adelaide's Warbler,Setophaga adelaidae,SETADE
2019,,ADWA,,Adelaide's Warbler,Setophaga adelaidae,SETADE
2020,,ADWA,,Adelaide's Warbler,Setophaga adelaidae,SETADE
2006,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS
2008,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS
2009,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS
2010,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS
2011,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS
2012,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS
2013,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS
2014,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS,
2015,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS,
2016,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS,
2017,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS,
2018,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS,
2019,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS,
2020,,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS,
2000,+,AFSI,,African Silverbill,Lonchura cantans,Loncan,*
2002,,AFSI,,African Silverbill,Lonchura cantans,Loncan,
2004,,AFSI,,African Silverbill,Lonchura cantans,LONCAN,
2006,,AFSI,,African Silverbill,Lonchura cantans,LONCAN,
2008,,AFSI,,African Silverbill,Lonchura cantans,LONCAN,
2009,,AFSI,,African Silverbill,Lonchura cantans,LONCAN,
2010,,AFSI,,African Silverbill,Lonchura cantans,LONCAN,
2011,,AFSI,,African Silverbill,Lonchura cantans,LONCAN,
2012,,AFSI,,African Silverbill,Lonchura cantans,LONCAN,
2013,,AFSI,,African Silverbill,Lonchura cantans,LONCAN,
2014,,AFSI,,African Silverbill,Euodice cantans,EUOCAN,
2015,,AFSI,,African Silverbill,Euodice cantans,EUOCAN,
2016,,AFSI,,African Silverbill,Euodice cantans,EUOCAN,
2017,,AFSI,,African Silverbill,Euodice cantans,EUOCAN,
2018,,AFSI,,African Silverbill,Euodice cantans,EUOCAN,
2019,,AFSI,,African Silverbill,Euodice cantans,EUOCAN,
2020,,AFSI,,African Silverbill,Euodice cantans,EUOCAN,
1998,+,AGHE,,Agami Heron,Agamia agami,,*
2000,+,AGHE,,Agami Heron,Agamia agami,Agaaga,*
2002,,AGHE,,Agami Heron,Agamia agami,Agaaga,
2004,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2006,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2008,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2009,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2010,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2011,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2012,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2013,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2014,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2015,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2016,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2017,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2018,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2019,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2020,,AGHE,,Agami Heron,Agamia agami,AGAAGA,
2016,,AISP,,Ainley's Storm-Petrel,Oceanodroma cheimomnestes,OCECHE,
2017,,AISP,,Ainley's Storm-Petrel,Oceanodroma cheimomnestes,OCECHE,
2018,,AISP,,Ainley's Storm-Petrel,Oceanodroma cheimomnestes,OCECHE,
2019,,AISP,,Ainley's Storm-Petrel,Hydrobates cheimomnestes,HYDCHE,
2020,,AISP,,Ainley's Storm-Petrel,Hydrobates cheimomnestes,HYDCHE,
1998,+,AKEK,,Akekee,Loxops caeruleirostris,,*
2000,+,AKEK,,Akekee,Loxops caeruleirostris,Loxcae,*
2002,,AKEK,,Akekee,Loxops caeruleirostris,Loxcae,
2004,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2006,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
