Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Taxonomic Order,Comments
10,WEGR,Western Grebe,"7B, 7, 7A",Grèbe élégant,Aechmophorus occidentalis,,97,
11,CLGR,Clark's Grebe,"7A, 7, 7B",Grèbe à face blanche,Aechmophorus clarkii,,99,
12,WCGR,Western/Clark's Grebe,"7A, 7B",Grèbe à face blanche/Grèbe élégant non identifiée,,,98,Unspecified Aechmophorus occidentalis or A. clarkii.
20,RNGR,Red-necked Grebe,"7A, 7, 7B",Grèbe jougris,Podiceps grisegena,,95,
30,HOGR,Horned Grebe,"6, 5, 5A",Grèbe esclavon,Podiceps auritus,Y,94,Magdalen Islands population is endangered.
40,EAGR,Eared Grebe,"5, 5A",Grèbe à cou noir,Podiceps nigricollis,,96,
50,LEGR,Least Grebe,4,Grèbe minime,Tachybaptus dominicus,,92,
60,PBGR,Pied-billed Grebe,"5, 6, 5A",Grèbe à bec bigarré,Podilymbus podiceps,,93,
70,COLO,Common Loon,"8, 8A, 9",Plongeon huard,Gavia immer,,90,
80,YBLO,Yellow-billed Loon,"9, 8A",Plongeon à bec blanc,Gavia adamsii,,91,
90,ARLO,Arctic Loon,7B,Plongeon arctique,Gavia arctica,,88,
100,PALO,Pacific Loon,7B,Plongeon du Pacifique,Gavia pacifica,,89,
110,RTLO,Red-throated Loon,7B,Plongeon catmarin,Gavia stellata,,87,
120,TUPU,Tufted Puffin,"6, 5, 5A",Macareux huppé,Fratercula cirrhata,,395,
130,ATPU,Atlantic Puffin,5,Macareux moine,Fratercula arctica,,393,
140,HOPU,Horned Puffin,"5, 5A",Macareux cornu,Fratercula corniculata,,394,
150,RHAU,Rhinoceros Auklet,"5, 6, 5A",Macareux rhinocéros,Cerorhinca monocerata,,392,
160,CAAU,Cassin's Auklet,"3, 3B, 3A",Starique de Cassin,Ptychoramphus aleuticus,,387,
170,PAAU,Parakeet Auklet,4,Starique perroquet,Aethia psittacula,,388,
180,CRAU,Crested Auklet,4,Starique cristatelle,Aethia cristatella,,391,
190,WHAU,Whiskered Auklet,3,Starique pygmée,Aethia pygmaea,,390,
200,LEAU,Least Auklet,"2, 3, 2A",Starique minuscule,Aethia pusilla,,389,
210,ANMU,Ancient Murrelet,"3, 3B",Guillemot à cou blanc,Synthliboramphus antiquus,,386,
230,MAMU,Marbled Murrelet,"3, 3B",Guillemot marbré,Brachyramphus marmoratus,Y,380,
231,LBMU,Long-billed Murrelet,"3B, 3",Guillemot à long bec,Brachyramphus perdix,,378,
232,AMMU,Alaska Marbled Murrelet,"3, 3B",Guillemot à long bec,Brachyramphus marmoratus,,379,Alaskan populations of Marbled Murrelet (not endangered).
240,KIMU,Kittlitz's Murrelet,3,Guillemot de Kittlitz,Brachyramphus brevirostris,,381,
250,XAMU,Xantus's Murrelet,"2, 2A",Guillemot de Xantus,,,382,Unspecified Synthliboramphus scrippsi / S. hypoleucus.
251,SCMU,Scripps's Murrelet,"2, 2A",Guillemot de Scripps,Synthliboramphus scrippsi,,383,Split from XAMU (0250) in August 2012.
252,GUMU,Guadalupe Murrelet,"2, 2A",Guillemot de Xantus,Synthliboramphus hypoleucus,,384,Split from XAMU (0250) in August 2012.
260,CRMU,Craveri's Murrelet,2,Guillemot de Craveri,Synthliboramphus craveri,,385,
270,BLGU,Black Guillemot,"4, 4A",Guillemot à miroir,Cepphus grylle,,376,
290,PIGU,Pigeon Guillemot,"4, 4A",Guillemot colombin,Cepphus columba,,377,
300,COMU,Common Murre,"6M, 6",Guillemot marmette,Uria aalge,,373,
310,TBMU,Thick-billed Murre,"6M, 5R, 6, 5",Guillemot de Brünnich,Uria lomvia,,374,
320,RAZO,Razorbill,"5R, 6M",Petit Pingouin,Alca torda,,375,
340,DOVE,Dovekie,"3, 2A",Mergule nain,Alle alle,,372,
350,GRSK,Great Skua,"7A, 7B",Grand Labbe,Stercorarius skua,,365,
352,SPSK,South Polar Skua,"7A, 7B",Labbe de McCormick,Stercorarius maccormicki,,366,
360,POJA,Pomarine Jaeger,5,Labbe pomarin,Stercorarius pomarinus,,369,
370,PAJA,Parasitic Jaeger,"3A, 4, 4A",Labbe parasite,Stercorarius parasiticus,,370,
380,LTJA,Long-tailed Jaeger,"4, 4A",Labbe à longue queue,Stercorarius longicaudus,,371,
390,IVGU,Ivory Gull,4,Mouette blanche,Pagophila eburnea,Newfoundland and Labrador,398,
390,IVGU,Ivory Gull,4,Mouette blanche,Pagophila eburnea,Northwest Territories,,
